id,url,title,companyName,datePosted,location,salary,workFromHome,Arbetszeit,Softskils,Hardskils,Arbeitsbedingungen,branche,verantwortlichkeiten,sprache,Greed,home_work,textSnippet
13051042,https://www.stepstone.de/jobs--Personalsachbearbeiter-HR-Assistant-m-w-d-Wendelstein-PIC-GmbH--13051042-inline.html?rltr=1_1_25_seorl_m_0_0_0_0_0_0,Personalsachbearbeiter / HR Assistant (m/w/d),PIC GmbH,2025-09-24,Wendelstein,,2,[],[],[],[],[],[],[],[],['Home Work'],Zum frühestmöglichen Termin suchen wir für unsere Zentrale in Wendelstein bei Nürnberg einen <strong>Personalsachbearbeiter</strong> / <strong>HR Assistant</strong> (m/w/d)
12988250,https://www.stepstone.de/jobs--Personalsachbearbeiter-in-Teilzeit-20-0-Std-m-w-d-in-Bad-Aibling-Bad-Aibling-Schoen-Klinik-Gruppe--12988250-inline.html?rltr=2_2_25_seorl_m_0_0_0_0_0_0,"Personalsachbearbeiter in Teilzeit 20,0 Std. (m/w/d) in Bad Aibling",Schön Klinik Gruppe,2025-09-23,Bad Aibling,,0,['Teilzeit'],[],[],[],[],[],[],[],['Ofice Work'],"Zur Verstärkung unseres HR-Teams am Standort Bad Aibling suchen wir zum nächstmöglichen Zeitpunkt einen <strong>Personalsachbearbeiter</strong>/in (m/w/d) in Teilzeit mit einer 20 Std./Woche, befristet bis zum 31.12.2026."
13061015,https://www.stepstone.de/jobs--Personalsachbearbeiter-m-w-d-Stuttgart-Zweckverband-Landeswasserversorgung--13061015-inline.html?rltr=3_3_25_seorl_m_0_0_0_0_0_0,Personalsachbearbeiter (m/w/d),Zweckverband Landeswasserversorgung,2025-09-26,Stuttgart,,2,[],[],[],[],[],[],[],[],['Home Work'],Für unsere Abteilung Personal in der Hauptverwaltung in Stuttgart suchen wir zum nächstmöglichen Zeitpunkt Sie als <strong>Personalsachbearbeiter</strong> (m/w/d)
12937080,https://www.stepstone.de/jobs--Personalsachbearbeiter-HR-Administration-m-w-d-Muenchen-Kai-Novak-Recruiting-Headhunter-Inh-Kai-Novak--12937080-inline.html?rltr=4_4_25_seorl_m_0_0_0_0_1_0,Personalsachbearbeiter – HR Administration (m/w/d),Kai Novak Recruiting Headhunter Inh. Kai Novak,2025-09-26,München,,2,[],[],[],[],[],[],[],[],['Home Work'],Im Auftrag unseres Kunden suche ich Sie als <strong>Personalsachbearbeiter</strong> – HR Administration (m/w/d) * Abgeschlossene Ausbildung zum/zur <strong>Personalfachkaufmann</strong>/<strong>Personalfachkauffrau</strong> oder Kauffrau/Kaufmann für Büromanagement oder eine vergleichbare Qualifikation
8529847,https://www.stepstone.de/jobs--Personalsachbearbeiter-in-m-w-d-in-Vollzeit-Teilzeit-Hamburg-KJSH-Stiftung-fuer-Kinder-Jugend-und-Soziale-Hilfen--8529847-inline.html?rltr=5_5_25_seorl_m_0_0_0_0_1_0,Personalsachbearbeiter: in (m/w/d) in Vollzeit/ Teilzeit,"KJSH Stiftung für Kinder-, Jugend- und Soziale Hilfen",2025-09-26,Hamburg,,2,"['Vollzeit', 'Teilzeit']",[],[],[],[],['Gehaltsabrechnung'],[],[],['Home Work'],"KJSH Stiftung für Kinder-, Jugend- und Soziale Hilfen * Hamburg * Befristeter Vertrag, Feste Anstellung * Homeoffice möglich, Teilzeit, Vollzeit - Schnelle Bewerbung - Gemeinsam. Verantwortlich. Nachhaltig. Der KJSH – Kinder-, Jugend- und Soziale Hilfen, ist ein Verbund von gemeinnützigen Trägern, die im Jugendhilfe- und Sozialbereich tätig sind. Das Personalteam des Verbundes ist für die Personaladministration und die Gehaltsabrechnung zuständig. Zur Unterstützung unseres Teams suchen wir zum nächstmöglichen Zeitpunkt eine: n Sachbearbeiter: in Personal/ Qualifizierte Sachbearbeitung (m/w/d) in Vollzeit. Deine Aufgaben * Ansprechpartner: in für Leitungskräfte und Mitarbeiter: innen des eigenen Verantwortungsbereiches * Eigenständige Durchführung der Gehaltsabrechnung * Korrespondenz mit Krankenkassen, Ämtern und Behörden * Personalstammdatenpflege und Führung der Per"
12999230,https://www.stepstone.de/jobs--Personalsachbearbeiter-m-w-d-Schwerpunkt-Personalbetreuung-Osnabrueck-KiKxxl-GmbH--12999230-inline.html?rltr=6_6_25_seorl_m_0_0_0_0_0_0,Personalsachbearbeiter (m/w/d) Schwerpunkt Personalbetreuung,KiKxxl GmbH,2025-09-26,Osnabrück,,0,['Teilzeit'],[],[],[],[],['Zeugnisse'],[],[],['Ofice Work'],"KiKxxl GmbH * Osnabrück * Feste Anstellung * Teilzeit - Sei einer der ersten Bewerber - Auf einer Wellenlänge mit unseren Kunden setzen sich unsere 3.333 Mitarbeiter*innen in unseren Contact Center-Standorten Osnabrück, Bremen, Dortmund, Bochum, Recklinghausen und Bottrop, die seit 1999 inhabergeführt sind, ein. Dabei finden wir nicht nur den richtigen Ton für Unternehmen wie vodafone, freenet AG, EWE oder Vorwerk sondern pflegen auch einen kurzen Draht zu unseren Mitarbeiter*innen. Die Auszeichnung ""Bester Arbeitgeber 2025"" von Top Job sorgt für gute und langfristige Verbindungen. Teilzeit - Osnabrück - Deine Aufgaben * Du betreust unsere Mitarbeitenden bei allen personaladministrativen Anliegen und führst digitale Personalakten. * Du übernimmst Eintritts- und Austrittsprozesse inkl. Verträge, Zeugnisse, Stammdatenpflege und Bescheinigungswesen."
12033647,https://www.stepstone.de/jobs--Personalsachbearbeiter-m-w-d-Berlin-Johanniter-Unfall-Hilfe-e-V--12033647-inline.html?rltr=7_7_25_seorl_m_0_0_0_0_0_0,Personalsachbearbeiter (m/w/d),Johanniter-Unfall-Hilfe e.V.,2025-09-26,Berlin,,2,['Vollzeit'],[],[],[],[],[],[],[],['Home Work'],"Johanniter-Unfall-Hilfe e.V. * Berlin * Feste Anstellung * Homeoffice möglich, Vollzeit - Wer wir sind - Arbeiten mit Wissen und Gewissen: Bei uns geht das! Wir bieten Ihnen mit guten Arbeitsbedingungen, reizvollen Karriereperspektiven und einer fairen Bezahlung den richtigen Rahmen, in dem Sie langfristig ihr Bestes geben können. Getragen von einem starken Teamgeist und motiviert von der Tatsache, dass Sie bei den Johannitern wirklich etwas bewirken können. Miteinander, füreinander. Einsatzort: Berlin - Gehaltsinformation: zwischen 3.187,55€ und 3.355,32€ (bei Vollzeit 39h) je nach Berufserfahrung - Besetzungsdatum: zum nächstmöglichen Zeitpunkt - Art der Anstellung: Vollzeit - Befristung: unbefristet - Wir sind eine große Hilfsorganisation mit Hauptsitz in Berlin. Zu unseren Aufgaben zählen u. a. Rettungs- und Sanitätsdienst, Pflegeangebote, Katastrophenschutz, sozi"
12998528,https://www.stepstone.de/jobs--Personalsachbearbeiter-w-m-d-am-Standort-Regen-Regen-Excelitas-Deutschland-GmbH--12998528-inline.html?rltr=8_8_25_seorl_m_0_0_0_0_0_0,Personalsachbearbeiter (w/m/d) am Standort Regen,Excelitas Deutschland GmbH,2025-09-26,Regen,,0,[],[],[],[],[],[],[],[],['Ofice Work'],"Erfolgreich abgeschlossene kaufmännische Ausbildung, idealerweise mit Zusatzausbildung <strong>Personalkaufmann</strong> (w/m/d), oder Studium mit entsprechendem Schwerpunkt"
12998569,https://www.stepstone.de/jobs--Personalsachbearbeiterin-m-w-d-Garching-bei-Muenchen-Leibniz-Rechenzentrum-LRZ-der-Bayerischen-Akademie-der-Wissenschaften--12998569-inline.html?rltr=9_9_25_seorl_m_0_0_0_0_1_0,Personalsachbearbeiterin (m/w/d),Leibniz-Rechenzentrum (LRZ) der Bayerischen Akademie der Wissenschaften,2025-09-26,Garching bei München,,2,['Vollzeit'],[],[],[],"['Wissenschaft', 'Forschung']",['Recruiting'],[],[],['Home Work'],"Leibniz-Rechenzentrum (LRZ) der Bayerischen Akademie der Wissenschaften * Garching bei München * Befristeter Vertrag, Berufseinstieg/Trainee * Homeoffice möglich, Vollzeit - Schnelle Bewerbung - Über uns - Seit 1962 verlassen sich bayerische Hochschulen und Forschungseinrichtungen auf die IT-Kompetenz des Leibniz-Rechenzentrums der Bayerischen Akademie der Wissenschaften. Geht es um die Digitalisierung der Wissenschaft sind wir traditionell voraus. Du suchst einen Arbeitgeber, mit dem du rechnen kannst? Als Teil der Personalverwaltung bist du insbesondere für die Betreuung der Themenbereiche studentische Hilfskräfte sowie für das Abwesenheits- und Bewerbermanagement zuständig. * Du prüfst Stellenausschreibungen, sichtest Bewerbungsunterlagen, kommunizierst mit den Fachabteilungen und begleitest unsere Bewerberinnen und Bewerber während des gesamten Recruiting-Prozesse"
12937030,https://www.stepstone.de/jobs--Personalsachbearbeiter-mit-Gehaltsabrechnung-m-w-d-Verden-Aller-Aller-Weser-Klinik-gGmbH--12937030-inline.html?rltr=10_10_25_seorl_m_0_0_0_0_1_0,Personalsachbearbeiter mit Gehaltsabrechnung (m/w/d),Aller-Weser-Klinik gGmbH,2025-09-26,Verden (Aller),,0,"['Vollzeit', 'Teilzeit']",['Zusammenarbeit'],[],[],[],[],[],[],['Ofice Work'],"Aller-Weser-Klinik gGmbH * Verden (Aller) * Feste Anstellung * Teilzeit, Vollzeit - Die Aller-Weser-Klinik gGmbH als Klinikverbund der Krankenhäuser Achim und Verden verfügt über alle wichtigen Fachgebiete der medizinischen Versorgung. Die überschaubare Größe unserer Häuser, mit 131 Betten am Standort Verden und 123 Betten am Standort Achim, gewährleisten eine unkomplizierte professionelle Zusammenarbeit der unterschiedlichen Fachbereiche. Rund 900 Mitarbeiter sorgen täglich in den unterschiedlichen Abteilungen für das Wohl unserer Patienten*innen. Zusätzlich betreuen wir die Tochtergesellschaft Aller-Weser-Care gGmbH. In den Pflegeeinrichtungen der Aller-Weser-Care gGmbH, „Haus in der Bürgerei“ in Thedinghausen und „Haus am Hesterberg“ sowie der Tagespflege in Dörverden, sorgen rund 170 Beschäftigte für das Wohl der Bewohnerschaft und Gäste."
